,Unnamed: 0,full_name,selling_price,new_price,year,seller_type,km_driven,owner_type,fuel_type,transmission_type,mileage,engine,max_power,seats,model_name
81,81,Mahindra,16.5,New Car (On-Road Price) : Rs.16.54-23.28 Lakh*,2018,Individual,21500,First Owner,Diesel,Automatic,15.1,Engine2179 CC,Max Power152.87 bhp,Seats7,XUV500 W11
82,82,Hyundai,3.5,,2015,Dealer,75000,First Owner,Diesel,Manual,24.0,Engine1120 CC,Max Power70 bhp,Seats5,Grand i10
83,83,Ford,5.0,New Car (On-Road Price) : Rs.6.85-8.70 Lakh*,2017,Dealer,58000,First Owner,Petrol,Manual,18.16,Engine1196 CC,Max Power86.8 bhp,Seats5,Aspire 1.2
84,84,Maruti,5.75,New Car (On-Road Price) : Rs.6.85-10.26 Lakh*,2018,Individual,30000,First Owner,Petrol,Manual,21.21,Engine1197 CC,Max Power81.80 bhp,Seats5,Swift Dzire
85,85,Hyundai,5.45,,2018,Individual,50000,First Owner,Diesel,Manual,24.0,Engine1186 CC,Max Power73.97 bhp,Seats5,Grand i10
86,86,Ford,5.25,New Car (On-Road Price) : Rs.6.02-7.91 Lakh*,2017,Trustmark Dealer,19093,First Owner,Petrol,Manual,18.16,Engine1196 CC,Max Power86.8 bhp,Seats5,Figo 1.2P
87,87,Honda,4.0,New Car (On-Road Price) : Rs.7.02-9.85 Lakh*,2014,Individual,50000,First Owner,Petrol,Manual,18.0,Engine1198 CC,Max Power86.7 bhp,Seats5,Amaze E
88,88,Maruti,1.55,New Car (On-Road Price) : Rs.5.16-6.94 Lakh*,2006,Dealer,37000,First Owner,Petrol,Manual,14.0,Engine1061 CC,Max Power64 bhp,Seats5,Wagon R
89,89,Mahindra,5.4,,2019,Individual,3888,First Owner,Diesel,Manual,23.5,Engine909 CC,Max Power45 bhp,Seats8,Supro VX
90,90,Maruti,5.45,,2016,Dealer,47000,First Owner,Diesel,Manual,26.59,Engine1248 CC,Max Power74 bhp,Seats5,Swift Dzire
91,91,Honda,5.45,New Car (On-Road Price) : Rs.13.13-17.45 Lakh*,2013,Individual,70000,First Owner,Petrol,Manual,16.8,Engine1497 CC,Max Power116.3 bhp,Seats5,City V
92,92,Renault,2.4,New Car (On-Road Price) : Rs.3.62-6.09 Lakh*,2016,Individual,25000,First Owner,Petrol,Manual,25.17,Engine799 CC,Max Power53.3 bhp,Seats5,KWID RXL
93,93,Maruti,7.25,,2018,Dealer,26000,First Owner,Diesel,Manual,24.3,Engine1248 CC,Max Power88.5 bhp,Seats5,Vitara Brezza
94,94,Ford,4.8,New Car (On-Road Price) : Rs.6.85-8.45 Lakh*,2017,Individual,30000,First Owner,Petrol,Manual,18.16,Engine1196 CC,Max Power86.8 bhp,Seats5,Aspire 1.2
95,95,Hyundai,3.75,New Car (On-Road Price) : Rs.7.83-13.12 Lakh*,2013,Individual,15000,First Owner,Petrol,Manual,18.5,Engine1197 CC,Max Power82.9 bhp,Seats5,i20 Magna
96,96,Maruti,2.25,,2011,Individual,160000,First Owner,Diesel,Manual,17.8,Engine1248 CC,Max Power75 bhp,Seats5,Swift VDi
97,97,Tata,4.0,New Car (On-Road Price) : Rs.5.63-7.89 Lakh*,2017,Individual,32100,First Owner,Petrol,Manual,23.84,Engine1199 CC,Max Power84 bhp,Seats5,Tiago 1.2
98,98,Hyundai,5.5,New Car (On-Road Price) : Rs.8.03-13.41 Lakh*,2016,Dealer,22000,First Owner,Petrol,Manual,18.5,Engine1197 CC,Max Power82.9 bhp,Seats5,i20 Magna
99,99,Mahindra,10.5,,2016,Dealer,44000,First Owner,Diesel,Manual,15.4,Engine2179 CC,Max Power120 bhp,Seats7,Scorpio S10
100,100,Volkswagen,4.5,New Car (On-Road Price) : Rs.6.94-11.19 Lakh*,2016,Dealer,78000,First Owner,Petrol,Manual,18.78,Engine1198 CC,Max Power74 bhp,Seats5,Polo 1.2
101,101,Mercedes-Benz,7.75,New Car (On-Road Price) : Rs.47.62-1.60 Cr*,2012,Dealer,74352,First Owner,Petrol,Automatic,11.74,Engine1796 CC,Max Power186 bhp,Seats5,C-Class C
102,102,Maruti,3.5,New Car (On-Road Price) : Rs.5.16-6.94 Lakh*,2014,Individual,37000,First Owner,Petrol,Manual,20.51,Engine998 CC,Max Power67.04 bhp,Seats5,Wagon R
103,103,Honda,5.5,New Car (On-Road Price) : Rs.14.79-17.55 Lakh*,2014,Dealer,69000,First Owner,Diesel,Manual,25.1,Engine1498 CC,Max Power98.6 bhp,Seats5,City i
104,104,Kia,10.8,New Car (On-Road Price) : Rs.11.19-19.20 Lakh*,2019,Individual,12120,First Owner,Petrol,Manual,16.8,Engine1497 CC,Max Power113.4 bhp,Seats5,Seltos HTK
105,105,Maruti,5.75,,2016,Dealer,52000,First Owner,Petrol,Manual,21.01,Engine1197 CC,Max Power81.80 bhp,Seats5,Baleno Delta
106,106,Toyota,9.5,,2016,Individual,120000,First Owner,Diesel,Manual,12.99,Engine2494 CC,Max Power100.6 bhp,Seats8,Innova 2.5
107,107,Maruti,2.3,New Car (On-Road Price) : Rs.3.47-4.66 Lakh*,2013,Individual,55000,First Owner,Petrol,Manual,22.74,Engine796 CC,Max Power47.3 bhp,Seats5,Alto 800
108,108,Hyundai,2.7,New Car (On-Road Price) : Rs.8.60-11.28 Lakh*,2011,Individual,160000,First Owner,Diesel,Manual,21.9,Engine1396 CC,Max Power90 bhp,Seats5,i20 1.4
109,109,Chevrolet,1.65,,2012,Dealer,42000,First Owner,Diesel,Manual,25.44,Engine936 CC,Max Power56.3 bhp,Seats5,Beat Diesel
110,110,Ford,1.3,New Car (On-Road Price) : Rs.6.13-7.91 Lakh*,2011,Individual,40000,First Owner,Petrol,Manual,15.6,Engine1196 CC,Max Power70 bhp,Seats5,Figo Petrol
111,111,Maruti,3.7,New Car (On-Road Price) : Rs.6.53-9.95 Lakh*,2012,Dealer,46000,First Owner,Petrol,Manual,19.1,Engine1197 CC,Max Power85.8 bhp,Seats5,Swift Dzire
112,112,Maruti,5.7,New Car (On-Road Price) : Rs.6.68-10.42 Lakh*,2017,Dealer,25000,First Owner,Petrol,Manual,21.4,Engine1197 CC,Max Power83.1 bhp,Seats5,Baleno Delta
113,113,Toyota,3.9,,2015,Individual,240000,First Owner,Diesel,Manual,23.59,Engine1364 CC,Max Power67.05 bhp,Seats5,Etios GD
114,114,Volkswagen,3.65,,2013,Dealer,90000,First Owner,Diesel,Manual,22.07,Engine1199 CC,Max Power73.9 bhp,Seats5,Polo Diesel
115,115,Hyundai,2.8,,2012,Dealer,49566,First Owner,Petrol,Manual,18.5,Engine1197 CC,Max Power82.85 bhp,Seats5,i20 Magna
116,116,Hyundai,12.5,New Car (On-Road Price) : Rs.13.09-18.29 Lakh*,2018,Dealer,14000,First Owner,Diesel,Automatic,22.0,Engine1582 CC,Max Power126.2 bhp,Seats5,Verna CRDi
117,117,Hyundai,5.9,New Car (On-Road Price) : Rs.8.03-13.41 Lakh*,2016,Dealer,11000,First Owner,Petrol,Manual,18.6,Engine1197 CC,Max Power81.83 bhp,Seats5,i20 2015-2017
118,118,Maruti,4.75,New Car (On-Road Price) : Rs.5.30-6.65 Lakh*,2018,Individual,5000,First Owner,Petrol,Automatic,23.1,Engine998 CC,Max Power67.04 bhp,Seats5,Celerio VXI
119,119,Ford,6.85,New Car (On-Road Price) : Rs.10.14-13.79 Lakh*,2017,Dealer,55000,First Owner,Diesel,Manual,23.0,Engine1498 CC,Max Power98.96 bhp,Seats5,Ecosport 2015-2021
120,120,Hyundai,3.8,,2012,Dealer,65000,First Owner,Diesel,Automatic,19.08,Engine1582 CC,Max Power126.32 bhp,Seats5,Verna SX
121,121,Renault,3.3,New Car (On-Road Price) : Rs.3.97-6.48 Lakh*,2018,Individual,22000,First Owner,Petrol,Manual,23.01,Engine999 CC,Max Power67 bhp,Seats5,KWID 1.0
122,122,Maruti,6.5,New Car (On-Road Price) : Rs.6.68-10.42 Lakh*,2018,Trustmark Dealer,7671,First Owner,Petrol,Manual,21.01,Engine1197 CC,Max Power81.80 bhp,Seats5,Baleno Delta
123,123,Maruti,3.25,New Car (On-Road Price) : Rs.5.11-6.79 Lakh*,2016,Individual,66000,First Owner,Petrol,Manual,20.51,Engine998 CC,Max Power67.04 bhp,Seats5,Wagon R
124,124,Maruti,6.4,New Car (On-Road Price) : Rs.6.56-10.04 Lakh*,2018,Dealer,45156,First Owner,Petrol,Automatic,21.21,Engine1197 CC,Max Power81.80 bhp,Seats5,Swift Dzire
125,125,Hyundai,9.49,New Car (On-Road Price) : Rs.7.19-12.12 Lakh*,2019,Individual,25000,First Owner,Petrol,Manual,18.27,Engine998 CC,Max Power118.35 bhp,Seats5,Venue SX
126,126,Nissan,7.5,,2015,Individual,70000,First Owner,Diesel,Manual,20.45,Engine1461 CC,Max Power83.8 bhp,Seats5,Terrano XL
127,127,Hyundai,6.6,New Car (On-Road Price) : Rs.12.84-18.09 Lakh*,2015,Individual,120000,First Owner,Diesel,Manual,23.9,Engine1582 CC,Max Power126.2 bhp,Seats5,Verna 1.6
128,128,Maruti,4.35,New Car (On-Road Price) : Rs.6.35-9.27 Lakh*,2014,Dealer,28000,First Owner,Petrol,Manual,16.1,Engine1197 CC,Max Power85 bhp,Seats5,Swift VXi
129,129,Hyundai,3.85,New Car (On-Road Price) : Rs.9.74-13.09 Lakh*,2013,Dealer,55000,First Owner,Diesel,Manual,21.9,Engine1396 CC,Max Power88.76 bhp,Seats5,i20 Sportz
130,130,Hyundai,10.0,,2011,Individual,104000,First Owner,Diesel,Manual,14.66,Engine2199 CC,Max Power194.3 bhp,Seats7,Santa Fe
131,131,Hyundai,12.5,New Car (On-Road Price) : Rs.13.09-18.29 Lakh*,2019,Dealer,14000,First Owner,Diesel,Automatic,22.0,Engine1582 CC,Max Power126.2 bhp,Seats5,Verna CRDi
132,132,Hyundai,5.5,,2017,Individual,18000,First Owner,Petrol,Manual,20.14,Engine1197 CC,Max Power81.86 bhp,Seats5,Xcent 1.2
133,133,Maruti,1.55,New Car (On-Road Price) : Rs.5.30-7.07 Lakh*,2009,Dealer,98780,First Owner,Petrol,Manual,18.9,Engine998 CC,Max Power67.1 bhp,Seats5,Wagon R
134,134,Maruti,4.15,,2015,Dealer,58000,First Owner,Diesel,Manual,25.2,Engine1248 CC,Max Power74 bhp,Seats5,Swift VDI
135,135,Maruti,2.51,,2011,Individual,30000,First Owner,Petrol,Manual,20.92,Engine998 CC,Max Power67.1 bhp,Seats5,Alto K10
136,136,Mahindra,11.5,New Car (On-Road Price) : Rs.15.10-19.92 Lakh*,2016,Dealer,46400,First Owner,Diesel,Manual,15.4,Engine2179 CC,Max Power120 bhp,Seats7,Scorpio S10
137,137,Hyundai,3.1,,2014,Trustmark Dealer,32111,First Owner,Petrol,Manual,19.81,Engine1086 CC,Max Power68.05 bhp,Seats5,i10 Magna
138,138,Datsun,3.5,New Car (On-Road Price) : Rs.4.80-7.88 Lakh*,2015,Individual,35000,First Owner,Petrol,Manual,19.44,Engine1198 CC,Max Power67 bhp,Seats7,GO Plus
139,139,Mahindra,11.25,New Car (On-Road Price) : Rs.15.10-19.92 Lakh*,2017,Dealer,30000,First Owner,Diesel,Manual,15.4,Engine1997 CC,Max Power120 bhp,Seats7,Scorpio 1.99
140,140,BMW,26.0,,2016,Dealer,63000,First Owner,Diesel,Automatic,18.59,Engine2993 CC,Max Power261.49 bhp,Seats5,5 Series
141,141,Chevrolet,2.0,,2017,Individual,43890,First Owner,Petrol,Manual,17.8,Engine1199 CC,Max Power76.8 bhp,Seats5,Beat LT
142,142,Datsun,4.8,New Car (On-Road Price) : Rs.4.97-8.09 Lakh*,2018,Individual,10000,First Owner,Petrol,Manual,20.62,Engine1198 CC,Max Power67 bhp,Seats7,GO Plus
143,143,Maruti,8.5,,2017,Individual,25000,First Owner,Diesel,Automatic,28.4,Engine1248 CC,Max Power74.02 bhp,Seats5,Swift Dzire
144,144,Hyundai,11.0,New Car (On-Road Price) : Rs.11.70-19.75 Lakh*,2017,Dealer,102000,First Owner,Diesel,Automatic,17.01,Engine1582 CC,Max Power126.2 bhp,Seats5,Creta 1.6
145,145,Maruti,5.75,,2018,Dealer,35000,First Owner,Petrol,Manual,22.0,Engine1197 CC,Max Power81.80 bhp,Seats5,Swift VXI
146,146,Hyundai,1.6,New Car (On-Road Price) : Rs.5.51-7.46 Lakh*,2007,Individual,54000,First Owner,Petrol,Manual,,Engine999 CC,,Seats5,Santro LP
147,147,Maruti,3.4,New Car (On-Road Price) : Rs.6.56-10.04 Lakh*,2012,Dealer,49948,First Owner,Petrol,Manual,17.5,Engine1298 CC,Max Power85.8 bhp,Seats5,Swift Dzire
148,148,Tata,5.59,,2018,Individual,114851,First Owner,Diesel,Manual,25.0,Engine1396 CC,Max Power69.01 bhp,Seats5,Indigo eLX
149,149,Ford,9.25,New Car (On-Road Price) : Rs.10.15-13.71 Lakh*,2018,Individual,55000,First Owner,Diesel,Manual,23.0,Engine1498 CC,Max Power98.96 bhp,Seats5,Ecosport 2015-2021
150,150,Hyundai,4.0,New Car (On-Road Price) : Rs.6.48-6.57 Lakh*,2015,Dealer,36000,First Owner,Petrol,Manual,18.9,Engine1197 CC,Max Power82 bhp,Seats5,Grand i10
151,151,Hyundai,5.6,,2019,Individual,35000,First Owner,Diesel,Manual,25.4,Engine1186 CC,Max Power73.97 bhp,Seats5,Xcent 1.2
